Movie:Adipurush		Cast:Prabhas,Kritisanon		Director:Oumraut
1		yes		150		1507994288
2		yes		150		2144092632
3		yes		150		268539525
4		yes		150		2095474022
5		yes		150		827136078
6		no		150
7		no		150
8		no		150
9		no		150
10		no		150
11		no		150
12		no		150
13		no		150
14		no		150
15		no		150
16		no		150
17		no		150
18		no		150
19		no		150
20		no		150
21		no		150
22		no		150
23		no		150
24		no		150
25		no		150
26		no		150
27		no		150
28		no		150
29		no		150
30		no		150
31		no		150
32		no		150
33		no		150
34		no		150
35		no		150
36		no		150
37		no		150
38		no		150
39		no		150
40		no		150
41		no		150
42		no		150
43		no		150
44		no		150
45		no		150
46		no		150
47		no		150
48		no		150
49		no		150
50		no		150
51		no		150
52		no		150
53		no		150
54		no		150
55		no		150
56		no		150
57		no		150
58		no		150
59		no		150
60		no		150
61		no		150
62		no		150
63		no		150
64		no		150
65		no		150
66		no		150
67		no		150
68		no		150
69		no		150
70		no		150
71		no		150
72		no		150
73		no		150
74		no		150
75		no		150
76		no		150
77		no		150
78		no		150
79		no		150
80		no		150
81		no		150
82		no		150
83		no		150
84		no		150
85		no		150
86		no		150
87		no		150
88		no		150
89		no		150
90		no		150
91		no		150
92		no		150
93		no		150
94		no		150
95		no		150
96		no		150
97		no		150
98		no		150
99		no		150
100		no		150
101		no		150
102		no		150
103		no		150
104		no		150
105		no		150
106		no		150
107		no		150
108		no		150
109		no		150
110		no		150
111		no		150
112		no		150
113		no		150
114		no		150
115		no		150
116		no		150
117		no		150
118		no		150
119		no		150
120		no		150
121		no		150
122		no		150
123		no		150
124		no		150
125		no		150
126		no		150
127		no		150
128		no		150
129		no		150
130		no		150
131		no		150
132		no		150
133		no		150
134		no		150
135		no		150
136		no		150
137		no		150
138		no		150
139		no		150
140		no		150
141		no		150
142		no		150
143		no		150
144		no		150
145		no		150
146		no		150
147		no		150
148		no		150
149		no		150
150		no		150
151		no		150
152		no		150
153		no		150
154		no		150
155		no		150
156		no		150
157		no		150
158		no		150
159		no		150
160		no		150
161		no		150
162		no		150
163		no		150
164		no		150
165		no		150
166		no		150
167		no		150
168		no		150
169		no		150
170		no		150
171		no		150
172		no		150
173		no		150
174		no		150
175		no		150
176		no		150
177		no		150
178		no		150
179		no		150
180		no		150
181		no		150
182		no		150
183		no		150
184		no		150
185		no		150
186		no		150
187		no		150
188		no		150
189		no		150
190		no		150
191		no		150
192		no		150
193		no		150
194		no		150
195		no		150
196		no		150
197		no		150
198		no		150
199		no		150
200		no		150
201		no		150
202		no		150
203		no		150
204		no		150
205		no		150
206		no		150
207		no		150
208		no		150
209		no		150
210		no		150
211		no		150
212		no		150
213		no		150
214		no		150
215		no		150
216		no		150
217		no		150
218		no		150
219		no		150
220		no		150
221		no		150
222		no		150
223		no		150
224		no		150
225		no		150
226		no		150
227		no		150
228		no		150
229		no		150
230		no		150
231		no		150
232		no		150
233		no		150
234		no		150
235		no		150
236		no		150
237		no		150
238		no		150
239		no		150
240		no		150
241		no		150
242		no		150
243		no		150
244		no		150
245		no		150
246		no		150
247		no		150
248		no		150
249		no		150
250		no		150
251		no		150
252		no		150
253		no		150
254		no		150
255		no		150
256		no		150
257		no		150
258		no		150
259		no		150
260		no		150
261		no		150
262		no		150
263		no		150
264		no		150
265		no		150
266		no		150
267		no		150
268		no		150
269		no		150
270		no		150
271		no		150
272		no		150
273		no		150
274		no		150
275		no		150
276		no		150
277		no		150
278		no		150
279		no		150
280		no		150
281		no		200
282		no		200
283		no		200
284		no		200
285		no		200
286		no		200
287		no		200
288		no		200
289		no		200
290		no		200
291		no		200
292		no		200
293		no		200
294		no		200
295		no		200
296		no		200
297		no		200
298		no		200
299		no		200
300		no		200
301		no		200
302		no		200
303		no		200
304		no		200
305		no		200
306		no		200
307		no		200
308		no		200
309		no		200
310		no		200
311		no		200
312		no		200
313		no		200
314		no		200
315		no		200
316		no		200
317		no		200
318		no		200
319		no		200
320		no		200
321		no		200
322		no		200
323		no		200
324		no		200
325		no		200
326		no		200
327		no		200
328		no		200
329		no		200
330		no		200
331		no		200
332		no		200
333		no		200
334		no		200
335		no		200
336		no		200
337		no		200
338		no		200
339		no		200
340		no		200
341		no		200
342		no		200
343		no		200
344		no		200
345		no		200
346		no		200
347		no		200
348		no		200
349		no		200
350		no		200
351		no		200
352		no		200
353		no		200
354		no		200
355		no		200
356		no		200
357		no		200
358		no		200
359		no		200
360		no		200
361		no		200
362		no		200
363		no		200
364		no		200
365		no		200
366		no		200
367		no		200
368		no		200
369		no		200
370		no		200
